,INDEX,LABEL,FEATURES,TIME_LAPSE
0,SIFT,NORMAL,5001,1.004951439000024
1,SIFT,BRIGHT,5000,0.9960015750000366
2,SIFT,ROTATE,5000,0.980934634999926
3,ORB,NORMAL,5000,0.205531585000017
4,ORB,BRIGHT,5000,0.09245873200006827
5,ORB,ROTATE,5000,0.09260507199996937
6,KAZE,NORMAL,18012,3.2927130770000304
7,KAZE,BRIGHT,18015,3.4204334450000715
8,KAZE,ROTATE,18021,3.386015804000067
9,AKAZE,NORMAL,16638,0.6582494780000161
10,AKAZE,BRIGHT,16653,0.6520325000000184
11,AKAZE,ROTATE,16660,0.6507270349999317
12,BRISK,NORMAL,45640,0.4882949309999276
13,BRISK,BRIGHT,45653,0.491062616000022
14,BRISK,ROTATE,46567,0.5016567239999858
15,SIFT_FREAK,NORMAL,25481,1.0410536079999702
16,SIFT_FREAK,BRIGHT,25489,1.053088498999955
17,SIFT_FREAK,ROTATE,25287,1.078213484999992
18,START_BRIEF,NORMAL,5240,0.4860673659999293
19,START_BRIEF,BRIGHT,5246,0.4852775079999674
20,START_BRIEF,ROTATE,5254,0.49811960400006683
